Particle: X:[-0.158984, -80.5596, 0] v: [-0.0230004, -10.051, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.89763, -90.4206, 0] v: [-0.103009, -10.0269, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.45646, -89.3834, 0] v: [0.138383, -9.92329, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[11.2749, -85.6651, 0] v: [0.222141, -10.1125, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-1.56032, -84.6437, 0] v: [-0.0508566, -10.0105, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[9.17751, -84.4147, 0] v: [0.0126137, -9.87547, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-1.88597, -84.955, 0] v: [-0.0833882, -9.92945, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[8.44899, -82.6311, 0] v: [-0.0601663, -9.92156, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-0.195389, -82.2292, 0] v: [0.0855006, -9.88141, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[9.81344, -85.8455, 0] v: [0.0761428, -9.90627, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-1.12872, -87.3554, 0] v: [-0.00773892, -10.0571, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[9.96142, -82.7431, 0] v: [0.0909265, -10.0449, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-0.929592, -81.0756, 0] v: [0.0121537, -9.87831, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[9.18189, -87.3723, 0] v: [0.0130512, -9.94666, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-2.55511, -88.2682, 0] v: [-0.150236, -10.0362, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[9.30888, -79.2848, 0] v: [0.0257372, -9.81154, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-1.68959, -81.269, 0] v: [-0.0637699, -10.0098, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
